address,name
0x0052eee0,SexyAppBase::WriteToRegistry
0x00532780,SexyAppBase::RegistryRead
0x0052f450,SexyAppBase::RegistryReadKey
0x005327b0,SexyAppBase::RegistryReadString
0x00532860,SexyAppBase::RegistryReadInteger
0x005328b0,SexyAppBase::RegistryReadBoolean
0x005328e0,SexyAppBase::ReadFromRegistry
0x0052f7b0,SexyAppBase::WriteBytesToFile
0x0052fa40,SexyAppBase::WriteBufferToFile
0x0052fa70,SexyAppBase::ReadBufferFromFile
0x0052b680,SexyAppBase::FileExists
0x0052b740,SexyAppBase::EraseFile
0x00529350,SexyAppBase::SEHOccured
0x0052ff80,SexyAppBase::GetGameSEHInfo
0x0053b5f0,SexyAppBase::Shutdown
0x005378c0,SexyAppBase::RestoreScreenResolution
0x00537900,SexyAppBase::DoExit
0x00535840,SexyAppBase::UpdateFrames
0x00529390,SexyAppBase::DoUpdateFramesF
0x0052b1f0,SexyAppBase::DoUpdateFrames
0x00530410,CalculateFPS
0x00530700,FPSDrawCoords
0x00530960,CalculateDemoTimeLeft
0x005293c0,UpdateScreenSaverInfo
0x00530c70,SexyAppBase::DrawDirtyStuff
0x00530f90,SexyAppBase::LogScreenSaverError
0x005294f0,SexyAppBase::BeginPopup
0x0052b2e0,SexyAppBase::EndPopup
0x0052b790,SexyAppBase::MsgBox
0x0052be10,SexyAppBase::MsgBox
0x00531110,SexyAppBase::Popup
0x005312b0,SexyAppBase::Popup
0x00534440,SexyAppBase::SafeDeleteWidget
0x0052bef0,MarkerListDialogProc
0x0052c219,ListDemoMarkers
0x00531490,JumpToTimeDialogProc
0x005317b9,DemoJumpToTime
0x00529530,ToggleDemoSoundVolume
0x005295f0,ScreenSaverWindowProc
0x00534490,SexyAppBase::WindowProc
0x00529ab0,SexyAppBase::HandleNotifyGameMessage
0x00529b00,SexyAppBase::RehupFocus
0x00529ba0,SexyAppBase::ClearKeysDown
0x00529be0,SexyAppBase::WriteDemoTimingBlock
0x00529c70,SexyAppBase::PrepareDemoCommand
0x00536a60,SexyAppBase::ShowMemoryUsage
0x0052a0a0,SexyAppBase::IsAltKeyUsed
0x0053b8a0,SexyAppBase::DebugKeyDown
0x0052c330,SexyAppBase::ProcessDeferredMessages
0x0053bc00,SexyAppBase::MakeWindow
0x0052cf50,SexyAppBase::DeleteNativeImageData
0x0052cfc0,SexyAppBase::DeleteExtraImageData
